========================================================================================================================
PARAMETER SHAPES FOR ZO PERTURBATION AND UPDATE
========================================================================================================================

Model: facebook/opt-6.7b
Total trainable parameters: 516

No.    Parameter Name                                               Shape                            Elements  Memory (MB) Dtype          
178    model.decoder.layers.10.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
179    model.decoder.layers.10.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
180    model.decoder.layers.10.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
181    model.decoder.layers.11.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
182    model.decoder.layers.11.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
183    model.decoder.layers.11.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
184    model.decoder.layers.11.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
185    model.decoder.layers.11.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
186    model.decoder.layers.11.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
187    model.decoder.layers.11.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
188    model.decoder.layers.11.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
189    model.decoder.layers.11.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
190    model.decoder.layers.11.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
191    model.decoder.layers.11.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
192    model.decoder.layers.11.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
193    model.decoder.layers.11.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
194    model.decoder.layers.11.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
195    model.decoder.layers.11.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
196    model.decoder.layers.11.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
197    model.decoder.layers.12.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
198    model.decoder.layers.12.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
199    model.decoder.layers.12.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
200    model.decoder.layers.12.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
201    model.decoder.layers.12.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
202    model.decoder.layers.12.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
203    model.decoder.layers.12.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
204    model.decoder.layers.12.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
205    model.decoder.layers.12.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
206    model.decoder.layers.12.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
207    model.decoder.layers.12.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
208    model.decoder.layers.12.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
209    model.decoder.layers.12.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
210    model.decoder.layers.12.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
211    model.decoder.layers.12.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
212    model.decoder.layers.12.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
213    model.decoder.layers.13.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
214    model.decoder.layers.13.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
215    model.decoder.layers.13.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
216    model.decoder.layers.13.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
217    model.decoder.layers.13.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
218    model.decoder.layers.13.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
219    model.decoder.layers.13.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
220    model.decoder.layers.13.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
221    model.decoder.layers.13.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
222    model.decoder.layers.13.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
223    model.decoder.layers.13.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
224    model.decoder.layers.13.fc1.bias                             (16384,)                           16,384       0.0312 torch.float16  
225    model.decoder.layers.13.fc2.weight                           (4096, 16384)                  67,108,864     128.0000 torch.float16  
226    model.decoder.layers.13.fc2.bias                             (4096,)                             4,096       0.0078 torch.float16  
227    model.decoder.layers.13.final_layer_norm.weight              (4096,)                             4,096       0.0078 torch.float16  
228    model.decoder.layers.13.final_layer_norm.bias                (4096,)                             4,096       0.0078 torch.float16  
229    model.decoder.layers.14.self_attn.k_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
230    model.decoder.layers.14.self_attn.k_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
231    model.decoder.layers.14.self_attn.v_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
232    model.decoder.layers.14.self_attn.v_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
233    model.decoder.layers.14.self_attn.q_proj.weight              (4096, 4096)                   16,777,216      32.0000 torch.float16  
234    model.decoder.layers.14.self_attn.q_proj.bias                (4096,)                             4,096       0.0078 torch.float16  
235    model.decoder.layers.14.self_attn.out_proj.weight            (4096, 4096)                   16,777,216      32.0000 torch.float16  
236    model.decoder.layers.14.self_attn.out_proj.bias              (4096,)                             4,096       0.0078 torch.float16  
237    model.decoder.layers.14.self_attn_layer_norm.weight          (4096,)                             4,096       0.0078 torch.float16  
238    model.decoder.layers.14.self_attn_layer_norm.bias            (4096,)                             4,096       0.0078 torch.float16  
239    model.decoder.layers.14.fc1.weight                           (16384, 4096)                  67,108,864     128.0000 torch.float16  
